over,under
Pooranoo Metamorphics,Camel Hills Metamorphics
Edmund Group,Pooranoo Metamorphics
Bell Point Limestone  Waratah Limestone,Digger Island Formation
Bell Point Limestone  Waratah Limestone,Maitland Beach Volcanics
Heavitree Quartzite,Talipata Granite
Cistern Formation,Red Hill Volcanics
Millstream Formation,Marillana Formation
Kangiangi Clay,Marillana Formation
Kumina Conglomerate,Marillana Formation
Marillana Formation,Hamersley Group
Munjina Member,Weeli Wolli Formation
Barimunya Member,Munjina Member
Iowa Eastern Member,Barimunya Member
Constance Sandstone,Playford Sandstone
Crow Formation,Playford Sandstone
Crow Formation,Bowgan Sandstone
Crow Formation,Benmara Group
Bowgan Sandstone,Murphy Metamorphics
Bowgan Sandstone,Benmara Group
Bowgan Sandstone,Buddycurrawa Volcanics
Crow Formation,Buddycurrawa Volcanics
Buddycurrawa Volcanics,Breakfast Sandstone
Breakfast Sandstone,Murphy Metamorphics
Breakfast Sandstone,Connellys Volcanics
Bowthorn Siltstone Member,Schultz Sandstone Member
Mullera Formation,Schultz Sandstone Member
Burangoo Sandstone Member,Schultz Sandstone Member
Schultz Sandstone Member,Wallis Siltstone Member
Helen Springs Volcanics,Accident Subgroup
Accident Subgroup,Constance Sandstone
Accident Subgroup,Wild Cow Subgroup
Accident Subgroup,Fickling Group
Accident Subgroup,Caulfield beds
Mittiebah Sandstone,Wild Cow Subgroup
Wild Cow Subgroup,Murphy Metamorphics
Wild Cow Subgroup,McNamara Group
Wild Cow Subgroup,Benmara Group
Mittiebah Sandstone,Tobacco Member
Newer Volcanic Group,Illoura Granodiorite
White Hills Gravel,Illoura Granodiorite
White Hills Gravel,Two Eyed Creek Granodiorite
Gilgurry Mudstone,Cataract River Member
Drake Andesite,Cataract River Member
Corn Hill Formation,Eldon Group
Corn Hill Formation,Johnston Creek Siltstone
West Lynne Rhyodacite Member,Yuendoo Rhyolite Member
Spion Kop Conglomerate,West Lynne Rhyodacite Member
Appleogue Dacite Member,Peri Rhyolite
Pine Cliffs Rhyolite Member,Bexley Rhyolite Member
Bideroie Ignimbrite Member,Plagyan Ignimbrite Member
The Calpe Ignimbrite Member,Plagyan Ignimbrite Member
Mount Byar Ignimbrite Member,Plagyan Ignimbrite Member
Mount Hook Rhyolite Member,Hazelvale Rhyodacite Member
Pound Rock Rhyodacite Member,Darthula Rhyodacite Member
Plenty Group,Jervois Granite
Plenty Group,Mount Dobbie Granite
Aroota Group,Plenty Group
Mount Cornish Formation,Plenty Group
Yardida Tillite,Plenty Group
Keepera Group,Plenty Group
Boko Formation,Plenty Group
Central Mount Stuart Formation,Plenty Group
Keepera Group,Aroota Group
Black Stump Arkose,Aroota Group
Oorabra Arkose,Aroota Group
Aroota Group,Yackah beds
Thorntonia Limestone,Shadow Group
Shadow Group,Keepera Group
Chabalowe Formation,Shadow Group
Narpa Group,Shadow Group
Shadow Group,Elkera Formation
Shadow Group,Sun Hill Arkose
Shadow Group,Central Mount Stuart Formation
Shadow Group,Little Burke Tillite
Narpa Group,Kalkarindji Suite
Cockroach Group,Narpa Group
Narpa Group,Kalkarindji Volcanic Group
Narpa Group,Riversdale Formation
Narpa Group,Colless Volcanics
Narpa Group,Mount Hendry Formation
Narpa Group,Mount Birnie beds
Narpa Group,Red Heart Dolostone
Narpa Group,Neutral Junction Formation
Chatsworth Limestone,Narpa Group
Tomahawk Formation,Narpa Group
Ninmaroo Formation,Narpa Group
Kelly Creek Formation,Cockroach Group
Catombal Group,Garra Formation
Catombal Group,Fairbridge Volcanics
Brumby Formation,Drummond Formation
Bullrush Conglomerate,Drummond Formation
Bullrush Conglomerate,Brumby Formation
Windgelli Clay,Newer Volcanics
Dugong Supersequence,Wobbegong Supersequence
Wobbegong Supersequence,Hammerhead Supersequence
Hammerhead Supersequence,Tiger Supersequence
Dugong Supersequence,Hammerhead Supersequence
Tiger Supersequence,White Pointer Supersequence
White Pointer Supersequence,Blue Whale Supersequence
Blue Whale Supersequence,Bronze Whaler Supersequence
Bronze Whaler Supersequence,Southern Right Supersequence
Southern Right Supersequence,Minke Supersequence
Minke Supersequence,Sea Lion Supersequence
Roy Hill Member,Warrie Member
Marra Mamba Iron Formation,Roy Hill Member
Nulchara Charnockite,Michell Nob Granite
Rast Group,Yegi Conglomerate
Tullibigeal Leucitite,Yegi Conglomerate
Tupia Formation,Little Bay Shale
Cotton Formation,Northparkes Group
Glengowan Shale Member,Eyriebower Coal Member
Eyriebower Coal Member,Longford Creek Siltstone Member
Cavan Bluff Limestone,Fifeshire Shale
Newer Volcanic Group,Calivil Formation
Newer Volcanic Group,Castlemaine Group
Darley Gravel,Newer Volcanic Group
Newer Volcanic Group,Tullamarine Basalt
Hovea Member,Dongara Sandstone
Hovea Member,Wittecarra Sandstone
Beaver Formation,Bainmedart Formation
Mount Dandenong Igneous Complex,Cave Hill Sandstone
Cave Hill Sandstone,Lilydale Limestone Member
Lake Woods beds,Jangirulu Formation
Helen Springs Volcanics,Renner Group
Anthony Lagoon Formation,Renner Group
Wonarah Formation,Renner Group
Renner Group,Namerinni Group
Jangirulu Formation,Wiernty Formation
Wiernty Formation,Powell Formation
Powell Formation,Baralandji Formation
Powell Formation,Grayling Member
Helen Springs Volcanics,Baralandji Formation
Baralandji Formation,Gleeson Formation
Grayling Member,Sweetwater Member
Helen Springs Volcanics,Sweetwater Member
Sweetwater Member,Gleeson Formation
Gleeson Formation,Carruthers Formation
Gleeson Formation,Willieray Formation
Anthony Lagoon Formation,Gleeson Formation
Gleeson Formation,Namerinni Group
Namerinni Group,Bootu Formation
Renner Group,Willieray Formation
Carruthers Formation,Jeromah Formation
Jeromah Formation,Carmilly Formation
Namerinni Group,Carmilly Formation
Gleeson Formation,Mitty Member
Mitty Member,Kuerschner Member
Kuerschner Member,Whittington Range Member
Coodna Member,Meerie Member
Meerie Member,Manga Mauda Member
Top Lily Sandstone Member,Wangalinji Member
Wangalinji Member,Widdallion Sandstone Member
Cedar Party Limestone,Kimbriki Formation
Colraine Mudstone,Cedar Party Limestone
Ceduna Formation,Borda Formation  Upper
Paling Formation,Maralinga Member
Pidinga Formation,Paling Formation
Khasta Formation,Paling Formation
Paling Formation,Maralinga Formation
Mount James Formation,Coor de wandy Formation
Silver Hills Volcanics,Central Creek Granodiorite
Central Mount Stuart Formation,Elkera Formation
Central Mount Stuart Formation,Grant Bluff Formation
Central Mount Stuart Formation,Lander Rock Formation
Central Volcanic Complex,Crimson Creek Formation
White Spur Formation,Central Volcanic Complex
Mount Charter Group,Central Volcanic Complex
Fortescue Group,Lizard Hills Formation
Revenge Formation,Princess Royal Member
Tawallah Group  Upper,Tawallah Group  Lower
Mount Charles Formation,Ware Group
Pargee Sandstone,Century Formation
Tritton Formation,Caro Schist
Annie Creek beds,Winterbourne Volcanics
Winterbourne Volcanics,Rockhampton Group
Winterbourne Volcanics,Lochenbar Formation
Dooloo Tops Volcanics,Monal Granodiorite
Nagoorin beds,Mount Alma Formation
Nagoorin beds,Wandilla Formation
Casuarina beds,Erebus beds
Berserker Group,Rockhampton Group
Warminster Formation,Berserker Group
Chalmers Formation,Rockhampton Group
Chalmers Formation,Lakes Creek Formation
Wana Karnu Group,Mossgiel Granite
Settlement Creek Dolerite,Aquarium Formation
Malita Formation,Challis Formation
Hervey Group,Bird Flat Volcanic Member
Ungoolya Group,Chambers Bluff Tillite
Chambers Bluff Tillite,Callana Group
Antrim Plateau Volcanics,Chambers River Formation
Gatton Sandstone,Aberdare Conglomerate
Ripley Road Sandstone,Aberdare Conglomerate
Aberdare Conglomerate,Ipswich Coal Measures
Woogaroo Subgroup,Alice Creek beds
Woogaroo Subgroup,Buaraba Granodiorite
BB2,BB1
BB3,BB2
BB6,BB2
BB7,BB2
BB4,BB3
BB5,BB4
BB6,BB4
BB8a,BB4
BB8c,BB4
BB9,BB4
BB10,BB4
BB6,BB5
BB7,BB5
BB7,BB6
BB8a,BB6
BB12b,BB6
BB8a,BB7
BB8b,BB8a
BB8c,BB8a
BB9,BB8a
BB10,BB8a
BB12a,BB8a
BB8c,BB8b
BB9,BB8b
BB10,BB8b
BB9,BB8c
BB10,BB9
BB22,BB9
Bobby Volcanics,Bootoo Creek Granite
MacDougall Formation,Pitjantjatjara Supersuite
Woogaroo Subgroup,Champion Hills Diorite
Precipice Sandstone,Flaggy Quartz Monzodiorite
Ooradidgee Group,Woodenjerrie beds
Hatches Creek Group,Ooradidgee Group
Knowsley East Shale,Dja Dja Wrung Supergroup
Wauchope Subgroup  Upper,Wauchope Subgroup  Lower
Barrat Formation,Melougel Ignimbrite
Fresh Well Formation,Wandearah Formation
Roopena Basalt,Wandearah Formation
Angle Dam Volcanics,Wandearah Formation
Wokurna Member,Doora Member
Wokurna Member,New Cornwall Member
Wokurna Member,Delken Member
Winulta Formation,Moonta Porphyry Member
Pagoda Formation,Granite Harbour Formation
Fairchild Formation,MacKellar Formation
Clifford Formation,Charlton Formation
Birken Head Volcanic Member,Penryn Rhyolite Member
Charteris Basalt,Corboy Formation
Farrel Quartzite,Charteris Basalt
Paddy Market Formation,Charteris Basalt
Taggarts Mountain Ignimbrite Member,Yarralumba Ignimbrite Member
Yarralumba Ignimbrite Member,Tranquille Dacite Member
Amulda Member,Dare Siltstone Member
Hermannsburg Sandstone,Amulda Member
Conger Formation,Swordfish Formation
Chatsworth Limestone,O'Hara Shale
Edithvale Formation,Barrat Formation
Glendalough Formation,Chaucer Redbed Member
Malongulli Formation,Checkers Member
Cheela Springs Basalt,Nummana Member
Blina Shale,Cherrabun Member
Cherrabun Member,Hicks Range Sandstone Member
Panorama Formation,Fig Tree Gneiss
Mopoke Member,Midgengadgi Monzogranite
Mopoke Member,Little River Trondhjemite
Willandra Sandstone,Currawalla Shale
Currawalla Shale,Doongala Chert Member
Woogaroo Subgroup,Mount Cross Igneous Complex
Precipice Sandstone,Mount Seaview Igneous Complex
Cooalinga Member,Backstairs Passage Formation
Woogaroo Subgroup,South Buaraba Microdiorite
Great Cobar Slate,Chesney Formation
Bushley Dacite,Umbrella Granodiorite
Alcurra Dolerite,Dean Quartzite
Conjuboy Formation,Oasis Metamorphics
Lyndbrook Complex,Einasleigh Metamorphics
Albion Formation,Magdala Basalt
Leviathan Formation,Magdala Basalt
Vera Nancy Volcanics,Pallamana Sandstone
Pallamana Sandstone,Rollston Range Formation
Carribuddy Group,Cudalgarra Member
Cudalgarra Member,Leo Member
Nibil Formation,Leo Member
Leo Member,Goldwyer Formation
Lochenbar Formation,Marble Waterhole beds
Lochenbar Formation,Capella Creek Group
Three Moon Conglomerate,Lochenbar Formation
Hodgkinson Formation,Chillagoe Formation
Featherbed Volcanic Group,Chillagoe Formation
Chillagoe Formation,Mountain Creek Conglomerate
Yarraman Sandstone Member,Stud Formation
Kelly Creek Formation,Tomahawk Formation
Tomahawk Formation,Arrinthrunga Formation
Newer Volcanics,Rocklands Volcanic Group
Dorodong Sands,Rocklands Volcanic Group
Rocklands Volcanic Group,Grampians Group
Rocklands Volcanic Group,Nargoon Group
Rocklands Volcanic Group,Glenelg River Metamorphic Complex
Ipswich Coal Measures,Chillingham Volcanics
Archer Formation,Warner Siltstone
Chimney Rock Oolite,Emeriau Sandstone
"Eurydesma Limestone""""",Dreamy Bay Tillitic Sandstone
Dreamy Bay Tillitic Sandstone,Johnston Point Sandstone
Donaldson Formation,Rocky Cape Group
Coodardoo Formation,Curran Member
Curran Member,Ullawarra Formation
Back Creek Group,Anakie Metamorphic Group
Blair Athol Coal Measures,Anakie Metamorphic Group
Alton Downs Basalt,Doonside Formation
Alton Downs Basalt,Rockhampton Group
Alton Downs Basalt,Berserker Group
Inverness Volcanics,Smoky beds
Chinghee Conglomerate,Hillview Rhyolite
Gurragong Volcanics,Weethalle Granite
Gurragong Volcanics,Clements Formation
Cocoparra Group,Gurragong Volcanics
Pargee Sandstone,Grimwade Suite
Honeysuckle beds,Brawlin Formation
Keene Basalt,Hussar Formation
Chandabooka Dacite,Chitanilga Volcanic Complex
Tyers Subgroup,Duck Bay Volcanics
Gawler Range Volcanics  Lower,Broadview Schist
Noonkanbah Formation,Christmas Creek Member
Emerald Mine Greenstone Complex,Warrawoona Group
Emerald Mine Greenstone Complex,Gorge Creek Group
South Perth Shale,Parmelia Group
Gage Sandstone,Parmelia Group
Parmelia Group,Yarragadee Formation
Parmelia Group,Otorowiri Formation
Myalup Member,Wonnerup Member
Appleogue Dacite Member,Peri Rhyolite Member
Peri Rhyolite Member,Glen Idle Rhyolite Member
Gun Supersequence,Prize Supersequence
Prize Supersequence,Big Supersequence
Roper Group,Doom Supersequence
Doom Supersequence,Wide Supersequence
Lawn Supersequence,Term Supersequence
Term Supersequence,River Supersequence
Loretta Supersequence,Gun Supersequence
Wide Supersequence,Lawn Supersequence
River Supersequence,Loretta Supersequence
Eldon Group,Chudleigh Subgroup
Chudleigh Subgroup,Magog Subgroup
Chumvale Breccia,Mitakoodi Quartzite
Bookingarra Formation,Cistern Formation
Kialrah Rhyolite,Cistern Formation
Cistern Formation,Mons Cupri Volcanics
Barangaroo Ignimbrite,Yat Nat Ignimbrite
Mount Byar Ignimbrite Member,Piney Range Member
Callie Member,Ferdies Member
Neara Volcanics,Claddagh Granodiorite
Kadina Formation,Clagger Sandstone
McNamara Group  Upper,McNamara Group  Lower
McArthur Group  Lower,Tawallah Group
Tumbiana Formation,Pear Creek Formation
Bally Knob Volcanics,Balcooma Metavolcanic Group
Black Cap Microdiorite,Old Man Rhyolite
Earaheedy Group,Windplain Group
Pincally Formation,Kara Formation
Pimbilla Tank Group,Wyarra Shale
Yeronga Basalt,Wild Duck Formation
Yeronga Basalt,Castlemaine Supergroup
Killeen Basalt,Strathbogie Granite
Sooley Volcanic Member,Kingsdale Limestone Member
Copplestone Member,Wyelba Member
Wyelba Member,Hawkins Volcanics
Connell Member,Copplestone Member
Cliftonwood Limestone Member,O'Briens Creek Sandstone Member
O'Briens Creek Sandstone Member,Hawkins Volcanics
Hattons Corner Group,Yanawe Formation
Yanawe Formation,Yass Formation
Cardinal View Formation,Lookdown Limestone
Cardinal View Formation,Adaminaby Group
Tangerang Formation,Cardinal View Formation
Frome Hill Formation,Cardinal View Formation
Werong Breccia Member,Hulong Conglomerate Member
Cookbundoon Formation,Wiarborough Formation
Tyler Creek Beds,Rocky Boat Harbour Ultramafic Complex
Lagoon River Quartzite,Pedder River Siltstone
Cowrie Siltstone,Lagoon River Quartzite
Skinners Flat Siltstone,Lagoon River Quartzite
Balfour Subgroup,Lagoon River Quartzite
Clarendon Formation,Londonderry Clay
Gyranda Subgroup,Flat Top Formation
Baralaba Coal Measures,Gyranda Subgroup
Durroon Megasequence,Otway Megasequence
Flinders Sequence,Aroo Sequence
Aroo Sequence,Bass Sequence
Torquay Sequence,Flinders Sequence
dolostone 41148,Cottons Breccia
Antrim Plateau Volcanics,Nanny Goat Volcanics
Nanny Goat Volcanics,Killi Killi Formation
Century Formation,Nanny Goat Volcanics
Wilson Formation,Nanny Goat Volcanics
Otway Group,Nangeela Formation
Duddo Limestone,Nangeela Formation
Eumeralla Formation,Nangeela Formation
Vanneck Formation,Clayhole Tuff Member
Clayhole Tuff Member,Vanneck Formation
Eumeralla Formation,Kadnook Creek Granodiorite
Lowan Sand,Glendara Granite
Grampians Group,Gringegalgona Granite
Newer Volcanics,Fern Hill Microgranite
Otway Group,Coleraine Volcanic Group
Parilla Sand,Coleraine Volcanic Group
Lowan Sand,Coleraine Volcanic Group
Coleraine Volcanic Group,Bacchus Marsh Formation
Coleraine Volcanic Group,Glenelg River Metamorphic Complex
Hypatia Formation,Moralana Supergroup
Otway Group,Hypatia Formation
Murray Group,Hypatia Formation
Parilla Sand,Hypatia Formation
Hypatia Formation,Glenelg River Metamorphic Complex
Hypatia Formation,Bacchus Marsh Formation
Otway Group,Den Hills Formation
Parilla Sand,Den Hills Formation
Den Hills Formation,Bacchus Marsh Formation
Den Hills Formation,Glenelg River Metamorphic Complex
Evergreen Formation,Evandale Tonalite
Evergreen Formation,Dogherty Granite
Evergreen Formation,East Apple Granite
Evergreen Formation,Kenmore Gabbro
Benelabri Formation,Hoskissons Coal
Cleaverville Formation,Warrawoona Group
Cleaverville Formation,Kelly Group
Cleaverville Formation,Farrel Quartzite
Hardey Formation,Cleaverville Formation
Mallina Formation,Cleaverville Formation
Cleaverville Formation,Port Robinson Basalt
Fortescue Group,Cleaverville Formation
Clematis Group,Rewan Formation
Clematis Group,Dunda beds
Fortescue Group,Chimingadgi Trondhjemite
Big Knob beds,Shoal Reach Formation
Big Knob beds,Spencer Sandstone
Clifden Formation,Wanganui Andesite Member
Newer Volcanics,Clifton Formation
Hanson Plain Sand,Clifton Formation
Gelibrand Marl,Clifton Formation
Bywash Formation,Ashburton Formation
Mooline Formation,Bywash Formation
Bilpa Conglomerate,Teltawongee Group
Bilpa Conglomerate,Ponto Group
Nuchea Conglomerate,Bilpa Conglomerate
Scropes Range Formation,Nuchea Conglomerate
Nuchea Conglomerate,Gnalta Group
Gosford Subgroup,Clifton Subgroup
Terrigal Formation,Clifton Subgroup
Clifton Subgroup,Newcastle Coal Measures
Macqueen Member,Kingsfield Formation
Climie Formation,Fernflow Formation
South Maslin Sand,Clinton Formation
Whelan Creek Volcanics,Mountain View Volcanics
Back Creek Group,Lizzie Creek Volcanic Group
Lizzie Creek Volcanic Group,Connors Volcanic Group
Carmila beds,Sambo Quartz Monzonite
Mount Benmore Volcanics,Cobweb Mountain Rhyolite
Cobweb Mountain Rhyolite,Leura Volcanics
Humevale Siltstone,Clonbinane Member
Coppermine Andesite,Leura Volcanics
Coppermine Andesite,South Creek Diorite
Langdale Hill Rhyolite,Tartrus Rhyolite
Coppermine Andesite,South Creek Quartz Diorite
Broadsound Range Volcanics,Clive Creek Volcanics
Langdale Hill Rhyolite,Mount Benmore Volcanics
Lake Mackay Quartzite,Carrington Suite
Heavitree Quartzite,Alkipi Metamorphics
Heavitree Quartzite,Ikuntji Metamorphics
Ikuntji Metamorphics,Glen Helen Metamorphics
Heavitree Formation,Lizard Schist
Heavitree Quartzite,Peculiar Complex
Putardi Quartzite,Udor Granite
Heavitree Quartzite,Putardi Quartzite
Heavitree Quartzite,Udor Granite
Heavitree Quartzite,Yaya Metamorphic Complex
Little Mount Tambo Trachyte Member,Omeo Metamorphic Complex
Little Mount Tambo Trachyte Member,Teapot Creek Formation
Cluan Formation,Ross Sandstone
Paling Limestone,Maralinga Member
Ooldea Sand,Maralinga Member
Anthony Member,Maralinga Member
Khasta Formation,Anthony Member
Anthony Member,Ooldea Sand
Yan Yean Formation,Anderson Creek Formation
Yadboro Conglomerate,Clyde Coal Measures
Montejinni Formation,Babylon Volcaniclastic Sediment
Ferdies Member,Billabong Complex
Red Heart Dolostone,Grant Bluff Formation
Red Heart Dolostone,Elkera Formation
Arthur Creek Formation,Red Heart Dolostone
Red Heart Dolostone,Adam Shale
Red Heart Dolostone,Mount Tietkens Granite Complex
Mount Partridge Group,Celia Dolostone
Bootheragandra Group,Boothumble Formation
Walungurru Volcanics,Tinki Granite
