over,under
Maryborough Formation,Tiaro Coal Measures
Marysville Igneous Complex,Cathedral Group
Liffey Sandstone,Masseys Creek Group
Mundogie Sandstone,Masson Formation
Edith River Group,Masson Formation
Stag Creek Volcanics,Masson Formation
Masson Formation,Rum Jungle Complex
Mount Partridge Group,Masson Formation
Mount Fawcett Member,Mattamurta Sandstone
Badalngarrmirri Formation,Mattamurta Sandstone
Mattamurta Sandstone,Dhupuwamirri Member
Maude Basalt,Calivil Formation
Batesford Limestone,Maude Basalt
Maude Basalt,Batesford Limestone
Upper Maude Limestone,Maude Basalt
Maude Basalt,Lower Maude Limestone
Maules Creek Formation,Goonbri Formation
Porcupine Formation,Maules Creek Formation
Digby Formation,Maules Creek Formation
Maurice Formation,Mutitjulu Arkose
Mu Formation,Maurice Formation
Paterson Formation,Maurice Formation
Maurice Formation,Sir Frederick Conglomerate
Maurice Formation,Ellis Sandstone
Bullung Siltstone,McAdam Sandstone
McAdam Sandstone,Donnellys Creek Siltstone
McAdam Sandstone,Lazarini Siltstone
Tean Formation,McAlly Shale
McAlly Shale,Yurabi Formation
McArthur Group,Echo Sandstone
McArthur Group,Bukalara Sandstone
Roper Group,McArthur Group
McArthur Group,Tawallah Group
Nathan Group,McArthur Group
McArthur Group,Gold Creek Volcanics
Diamond Creek Volcanics,McCaw Formation
Gundi Sandstone,McCaw Formation
Bone Creek Sandstone,McCaw Formation
McCaw Formation,Shadforth Sandstone
McCaw Formation,Bonanza Creek Formation
Scardons Volcanic Group,McDevitt Metamorphics
Corona Dolomite,McDougalls Well Conglomerate
McFadden Formation,Steptoe Formation
McFadden Formation,Browne Formation
Table Hill Volcanics,McFadden Formation
Paterson Formation,McFadden Formation
Durba Sandstone,McFadden Formation
Tchukardine Formation,McFadden Formation
McFadden Formation,Skates Hills Formation
McFadden Formation,Boondawari Formation
McFadden Formation,Mundadjini Formation
Johnsons Creek Conglomerate,McInnes Formation
Alum Mountain Volcanics,McInnes Formation
McInnes Formation,Buckets Gap Formation
McIvor Sandstone,Dargile Formation
Mount Ida Formation,McIvor Sandstone
Cottee Formation,McKay Sandstone
McKay Sandstone,Marlgowa Sandstone
Kingfish Formation,Barracouta Formation
Barracouta Formation,Chimaera Formation
Burong Formation,Barracouta Formation
McLeod Creek Formation,Currawong Quartzite
South Nicholson Group,McNamara Group
McNamara Group,Carrara Range Group
Accident Subgroup,McNamara Group
Thorntonia Formation,McNamara Group
McNamara Group,Yaringa Metamorphics
McNamara Group,Surprise Creek Formation
McNamara Group,Fiery Creek Volcanics
Merrimerriwa Formation,Meadows Tank Formation
Meadows Tank Formation,Marooba Formation
Meadows Tank Formation,Winduck Group
Eurada Gneiss,Meeberrie Gneiss
Meeberrie Gneiss,Weiragoo Granite
Melbourne Formation,Anderson Creek Formation
Humevale Formation,Melbourne Formation
Melbourne Formation,Yan Yean Formation
Emeriau Sandstone,Melligo Sandstone
Frezier Sandstone,Melligo Sandstone
Parda Formation,Melligo Sandstone
Melligo Sandstone,Broome Sandstone
Mellinjerie Limestone,Poulton Formation
Grant Group,Mellinjerie Limestone
Paterson Formation,Mellinjerie Limestone
Mellinjerie Limestone,Clapp Ridge Formation
Pillara Limestone,Mellinjerie Limestone
Mellinjerie Limestone,Tandalgoo Formation
Memana Formation,Cameron Inlet Formation
Mendena Formation,Pentecost Sandstone
Mendip Metamorphics,Mount Bleechmore Granulite
Sadler Limestone,Menyous Member
Menyous Member,Red Bull Member
Gambier Limestone,Mepunga Formation
Mepunga Formation,Dilwyn Formation
Narrawaturk Marl,Mepunga Formation
Pertnjara Group,Mereenie Sandstone
Mereenie Sandstone,Pertaoorrta Group
Hermannsburg Sandstone,Mereenie Sandstone
Mereenie Sandstone,Stairway Sandstone
Finke Group,Mereenie Sandstone
Polly Conglomerate,Mereenie Sandstone
Horseshoe Bend Shale,Mereenie Sandstone
Parke Siltstone,Mereenie Sandstone
Mereenie Sandstone,Carmichael Sandstone
Mereenie Sandstone,Harajica Sandstone
Mereenie Sandstone,Ooraminna Sandstone
Meringo Creek Formation,Coila Basalt
Meringo Creek Formation,Moruya Province Volcanics
Merlinleigh Sandstone,Giralia Calcarenite
Merougil Formation,Black Flag Group
Coombool Member,Merreti Member
Merreti Member,Pyap Member
Merriangaah Siltstone,Tombong Formation
Quidong Limestone,Merriangaah Siltstone
Merrimbula Group,Yalwal Volcanics
Merrimbula Group,Comerong Volcanics
Merrimbula Group,Boyd Volcanic Complex
Merrimbula Group,Nelligen Granodiorite
Adaminaby Group,Merrimbula Group
Tirrawarra Sandstone,Merrimelia Formation
Patchawarra Formation,Merrimelia Formation
Merrimelia Formation,Dullingari Group
Merrimelia Formation,Big Lake Suite
Bulgoo Formation,Merrimerriwa Formation
Merrimu Gravel Member,Altona Coal Seam
Merrimu Gravel Member,Maddingley Coal Seam
Kelcey Tier Beds,Mersey Coal Measures
Mersey Coal Measures,Spreyton Beds
Meryula Formation,Coronga Peak Quartzite
Meryula Formation,Wild Wave Granodiorite
Corella Formation,Mick Creek Sandstone Member
Middle Arm Group,Garcia Sandstone
Clog Tom Sandstone,Middle Arm Group
Middle Arm Group,West Arm Group
Middle River Coal Member,State Mine Creek Formation
Middle River Coal Member,Gap Sandstone
Middleton Sandstone,Petrel Cove Formation
Townsend Quartzite,Milesia Formation
Milingimbi Formation,Naningbura Formation
Mooroongga Formation,Milingimbi Formation
Miller Basalt,Hilda Rhyolite
Frank Scott Formation,Miller Basalt
Gamminah Conglomerate,Miller Basalt
Millers Creek Dolomite Member,Billa Kalina Clay Member
Millers Creek Dolomite Member,Danae Conglomerate Member
Bangemall Group,Millidie Creek Formation
Millidie Creek Formation,Robinson Range Formation
Millidie Creek Formation,Wilthorpe Formation
Tanmurra Formation,Milligans Formation
Yow Creek Formation,Milligans Formation
Milligans Formation,Septimus Limestone
Milligans Formation,Buttons Formation
Utting Calcarenite,Milligans Formation
Burvill Formation,Milligans Formation
Milligans Formation,Bonaparte Formation
Millyera Formation,Willawortina Formation
Coomb Spring Formation,Millyera Formation
Coonarbine Formation,Millyera Formation
Eurinilla Formation,Millyera Formation
Millyera Formation,Namba Formation
Milyering Member,Murion Member
Jurabi Member,Milyering Member
Minaret Formation,Crashsite Group
Talingaboolba Formation,Mineral Hill Volcanics
Mineral Hill Volcanics,Forbes Group
Lynch Creek basalts,Miners Ridge Sandstone
Miners Ridge Sandstone,Guilfoyle Creek Basalt
Miners Ridge Sandstone,Miners Ridge basalt
Motton Spilite,Barrington Chert
Minmi Member,Nullawurt Sandstone Member
Doncaster Member,Minmi Member
Wallumbilla Formation,Minmi Member
Mintabie beds,Cartu beds
Mintabie beds,Blue Hills Sandstone
Mintaro Shale,Saddleworth Formation
Etadunna Formation,Mirackina Conglomerate
Mount Willoughby Limestone,Mirackina Conglomerate
Mirackina Conglomerate,Oodnadatta Formation
Mirackina Conglomerate,Bulldog Shale
Miria Formation,Withnell Formation
Lambert Formation,Miria Formation
Boongerooda Greensand,Miria Formation
Miria Formation,Toolonga Calcilutite
Miria Formation,Korojon Calcarenite
Misery Conglomerate,Professor Range sequence
Misery Conglomerate,Climie Formation
Mission Group,Cassidy Group
Townsend Quartzite,Mission Group
Gator Sandstone,Mitchiebo Volcanics
Musselbrook Formation,Mitchiebo Volcanics
Top Rocky Rhyolite,Mitchiebo Volcanics
Mitchiebo Volcanics,Don Creek Sandstone
Ethabuka Sandstone,Mithaka Formation
Cravens Peak beds,Mithaka Formation
Poodyea Formation,Mithaka Formation
Mithaka Formation,Carlo Sandstone
Mittiebah Sandstone,Mullera Formation
Mittiebah Sandstone,Crow Formation
Anthony Lagoon Formation,Mittiebah Sandstone
Wonarah Formation,Mittiebah Sandstone
Helen Springs Volcanics,Mittiebah Sandstone
Bukalara Sandstone,Mittiebah Sandstone
Molar Formation,Husky Conglomerate
Molar Formation,Glasgow Formation
Overflow Creek Formation,Mole Creek Formation
Mole Creek Formation,Dogs Head Formation
Inca Formation,Monastery Creek Phosphorite Member
Monastery Creek Phosphorite Member,Beetle Creek Formation
Monastery Creek Phosphorite Member,Thorntonia Limestone
Monastery Creek Phosphorite Member,Siltstone Member
Barrow Group,Dingo Claystone
Muderong Shale,Barrow Group
Gearle Siltstone,Barrow Group
Zeepaard Formation,Barrow Group
Barrow Group,Angel Formation
Flag Sandstone,Barrow Group
Barrow Group,Dupuy Formation
Coonambidgal Formation,Monoman Formation
Monoman Formation,Bookpurnong Formation
Vulcan Formation,Montara Formation
Montara Formation,Plover Formation
Montara Formation,Ashmore Volcanics
Wynyard Metamorphics,Monteagle Quartzite
Silver Hills Volcanics,Monteagle Quartzite
Monteagle Quartzite,Rolfe Creek Schist
Camfield beds,Montejinni Limestone
Montejinni Limestone,Lake Woods beds
Hooker Creek Formation,Montejinni Limestone
Point Wakefield beds,Montejinni Limestone
Montejinni Limestone,Antrim Plateau Volcanics
Whippet Sandstone Member,Monument Formation
Bernborough Formation,Monument Formation
Monument Formation,Warramunga Formation
Mooga Sandstone,Boondooma Igneous Complex
Bungil Formation,Mooga Sandstone
Mooga Sandstone,Orallo Formation
Moogooloo Sandstone,Callytharra Formation
Billidee Formation,Moogooloo Sandstone
Moogooloo Sandstone,Cordalia Sandstone
Quail Formation,Moogooree Limestone
Moogooree Limestone,Gneudna Formation
Williambury Formation,Moogooree Limestone
Lyons Group,Moogooree Limestone
Moogooree Limestone,Willaraddie Formation
Moogooree Limestone,Munabia Sandstone
King Leopold Sandstone,Moola Bulla Formation
Moola Bulla Formation,Koongie Park Formation
Moola Bulla Formation,Olympio Formation
Moolayember Formation,Snake Creek Mudstone Member
Hutton Sandstone,Moolayember Formation
Moolayember Formation,Showgrounds Sandstone
Moolayember Formation,Warang Sandstone
Moolayember Formation,Clematis Group
Precipice Sandstone,Moolayember Formation
Moorillah Siltstone Member,Moolooloo Siltstone Member
Moolooloo Siltstone Member,Seacliff Sandstone
Corraberra Sandstone Member,Moolooloo Siltstone Member
Moolooloo Siltstone Member,Nuccaleena Formation
Munmorah Conglomerate,Moon Island Beach Subgroup
